127.0.0.1, 2015-05-01 21:50:07, GET, /, HTTP/1.1, 303, 0.032239
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/default/index, HTTP/1.1, 200, 1.641128
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000385
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.006093
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000565
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001317
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001605
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001395
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000512
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000646
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000665
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000460
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000532
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000584
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2015-05-01 21:50:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000372
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.045132
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000574
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000444
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000445
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000449
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000352
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000437
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000538
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000419
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000407
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000435
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2015-05-01 22:06:17, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000352
